41,0,0,0
543,2871,10595,6503
1045,-3176,-18615,-6466
1546,14547,-13316,-11070
2047,-1580,-3338,-5284
2548,3120,-10084,-1850
3049,-493,7299,12095
3550,1750,1898,2797
4051,-12193,911,-5596
4552,3209,1388,5997
5053,-5707,-1569,-3077
5554,-1167,3491,1431
6055,2305,2087,5357
6556,-2129,-13148,-11415
7057,8698,7507,16257
7558,334,-4524,-2847
8059,-7741,-4044,-5316
8560,8171,1125,6691
9061,-2067,-6779,-5835
9562,-7520,3466,-3772
10063,5787,1660,1885
10564,-707,-7494,-7104
11065,-467,1992,952
11566,4942,-1366,804
12067,-1688,-5838,-5635
12568,5589,3375,8395
13069,50,4357,5408
13570,-10529,1959,-7469
14071,3006,5563,4686
14572,-3081,753,-648
15073,-9940,-807,-2641
15574,9039,-2911,-2184
16075,1331,-8375,-7967
16576,414,1599,-678
17077,3760,1717,2103
17578,-3149,-9737,-6133
18079,7593,7555,7673
18580,304,-328,1136
19081,-10987,-1375,-5425
19582,4445,4335,5557
20083,-1985,-5959,-5075
20584,-3177,-1341,-6514
21085,11941,-3813,-2278
21586,-2012,-15300,-10769
22087,2440,-4000,-11177
22588,11741,-6540,-2443
23089,-1030,-11166,-7932
23590,4532,4257,7387
24091,1923,3588,3682
24592,-8048,-9817,-8158
25093,8709,11216,10378
25594,-2166,-330,-1815
26095,-8908,-1275,-3218
26596,1559,7874,9353
27097,-5055,264,-2014
27598,3093,1137,6180
28099,-5176,9881,10662
28600,-2662,-7228,-8866
29101,3017,12567,11846
29602,-3095,2865,2667
30103,-8580,-3060,-5161
30604,5220,1785,2716
31105,-202,-4492,-6331
31606,-2339,-1186,349
32107,4582,-2549,3784
32608,1522,-16159,-11129
33109,9147,10314,12060
33610,-6034,6426,-518
34111,-11763,-973,-3728
34612,-2156,9110,6816
35113,-5149,-4866,-6768
35614,1229,747,-849
36115,2421,2629,3801
36616,-1791,-14254,-8665
37117,9890,12312,15929
37618,-2024,4157,1026
38119,-15542,-1747,-5881
38620,10063,10593,17814
39121,-3157,4349,-949
39622,-2049,-10858,-4508
40123,10345,4987,12120
40624,-6116,-1662,-1355
41125,-1106,1808,3172
41626,-4332,5092,-5122
42127,-2376,8184,-4040
42628,3785,-4157,-348
43129,1596,-7513,-3152
""
