30,0,0,0,0,0,0
532,-7004,3108,-14824,-359,79,25
1034,-11896,1428,-9072,-977,-9824,716
1535,-12444,-3260,-3988,-12623,-2601,-7634
2036,-11096,-92,6800,70,-4380,2712
2537,22188,-9688,9056,4794,32767,32767
3038,32767,-4804,20452,4503,13430,-15942
3539,32767,-2768,20436,18233,2891,-20028
4040,27400,6940,-5524,2942,-32768,-32768
4541,-32768,5372,19256,4742,-26272,-32768
5042,-32768,24464,-10764,-17360,-9503,4553
5543,30120,2320,5664,-19258,32767,32767
6044,32767,8408,-16244,6639,-32768,-32768
6545,-31968,-1924,21584,5596,-32768,-32768
7046,-32768,15600,-4824,-12160,32767,32767
7547,32767,3608,-2904,9569,-15267,-32768
8048,-3936,-6680,-8264,-21265,20713,-18756
8549,-19004,6052,-7748,22426,11784,-32768
9050,-11800,4480,-10020,-180,1758,469
9551,-11788,3848,-10676,-473,610,145
10052,-11564,3944,-10984,-444,204,78
10553,-11220,4028,-11064,-515,257,-1
11054,-11232,3960,-11224,-471,262,174
11555,-11156,4032,-11372,-372,241,53
12056,-11028,3980,-11268,-433,138,39
12557,-10956,4004,-11504,-381,105,20
13058,-10932,3852,-11664,-525,83,17
13559,-10928,3916,-11616,-394,126,2
14060,-10980,4160,-11384,-655,104,-86
14561,-10948,3876,-11636,-540,138,69
19161,-10396,4088,-11920,-339,-29,-24
19663,-10500,3900,-12076,-357,2,-12
20164,-10440,3928,-11972,-409,129,65
20665,-10336,3956,-12076,-378,37,-23
21166,-10340,3984,-11996,-423,-37,26
21667,-10540,3952,-11980,-423,-4,32
22168,-10392,4004,-12048,-312,-24,-13
22669,-10324,4004,-12116,-452,133,65
23170,-10404,3944,-12100,-317,28,12
23671,-10248,3972,-12064,-285,172,48
24172,-10356,3932,-12140,-447,-25,-20
24673,-10476,3968,-11972,-335,-8,33
25174,-10420,3980,-11988,-407,-69,-24
25675,-10364,3932,-12128,-464,114,24
26176,-10308,3940,-12096,-227,-3,7
26677,-10428,3988,-12212,-380,4,1
27178,-10288,3984,-12108,-455,-100,-24
27679,-10400,4008,-12136,-414,-47,-15
28180,-10416,4012,-12136,-447,-80,23
28681,-10304,4088,-12072,-444,-93,5
29182,-10320,3924,-12148,-420,180,27
29683,-10284,3936,-12140,-367,12,69
30184,-10320,3940,-12192,-432,-13,-24
30685,-10256,4088,-12024,-448,-87,-17
31186,-10300,4032,-12296,-427,236,-14
31687,-10352,3868,-12092,-475,-8,75
32188,-10276,4072,-12124,-426,-66,60
32689,-10292,4036,-12160,-313,91,-42
33190,-10392,3936,-12140,-461,54,-27
33691,-10332,3952,-12208,-362,-57,21
34192,-10312,3896,-12196,-438,46,37
34693,-10332,3872,-12124,-383,125,21
35194,-10236,3972,-12216,-467,3,55
35695,-10320,4036,-12260,-359,-25,11
36196,-10124,4000,-12148,-447,32,37
36697,-10284,3952,-12324,-271,204,51
37198,-10176,4092,-12320,-378,53,9
37699,-10220,3900,-12156,-353,-129,0
38200,-10280,3988,-12184,-450,141,64
38701,-10208,3908,-12272,-464,83,48
39202,-10256,4024,-12184,-462,23,58
39703,-10308,3880,-12188,-437,-34,-21
40204,-10340,3968,-12184,-464,-32,31
40705,-10216,3956,-12196,-410,-18,17
41206,-10096,3940,-12172,-518,-14,25
41707,-10148,3940,-12360,-487,-79,-51
42208,-10096,3968,-12352,-388,-35,18
42709,-10164,3924,-12252,-291,141,54
43210,-10240,3972,-12096,-528,-186,-69
43711,-10168,3972,-12180,-440,92,55
44212,-10088,3948,-12152,-650,-275,-60
44713,-10268,4064,-12388,-409,97,21
45214,-10308,3868,-12248,-397,-45,-27
45715,-10228,3912,-12308,-288,-36,-3
46216,-10016,3920,-12284,-434,-175,12
